name,team,battingStyle,bowlingStyle,playingRole,description
Arslan Amjad,Estonia,Right hand Bat,Right arm Medium,,
Shangeev Thanikaithasan  ,Denmark,Right hand Bat,Legbreak Googly,,
Patrick Gouge,Jersey,Right hand Bat,Legbreak Googly,,
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder,
Zeko Burgess,Bermuda,Right hand Bat,Right arm Medium,,
Jonny Bairstow ,England,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
Shai Hope,West Indies,Right hand Bat,,Wicketkeeper Batter,"Shai Hope made his Test debut as a 21-year-old, having played just 14 first-class matches at the time. But few in the Caribbean doubted his talent as a batsman. Clive Lloyd gave him his West Indies cap, and coach Stuart Law insisted that he only needed one innings to get going. The world eventually got to know why the boy from Barbados was rated so highly when he became the first player, in 534 first-class matches, to score a hundred in each innings at Headingley."
Shakib Al Hasan(c),Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,"When the annals of Bangladesh cricket are sifted by future generations, Shakib Al Hasan will emerge and re-emerge as the greatest cricketer of its first two decades. As a bowler, Shakib is accurate, consistent and canny; aggression and a wide range of strokes are the keys to his batting. Even more importantly, he has self-belief and an excellent temperament, unflustered by the big occasion and ready to do battle against the top teams."
Kohei Kubota,Japan,Right hand Bat,Right arm Medium,,
Sachin Mandy ,Germany,Right hand Bat,Right arm Medium,,
Eliyas Jabarkhel,Luxembourg,Right hand Bat,Right arm Medium,,
Sese Bau,Papua New Guinea,Left hand Bat,Right arm Offbreak,Middle order Batter,"A prolific left-handed batsman who plays for the United Club in Port Moresby, Sese Bau scored 171 runs in the Under-19 World Cup Qualifiers. His cricketing hero is Adam Gilchrist, and his ambition is to represent Papua New Guinea's senior team at an ICC Cricket World Cup.
Cricinfo Staff, January 2010"
Robiul Khan,Spain,Right hand Bat,Right arm Medium,,
Bernardo Sambo ,Mozambique,Right hand Bat,,,
Rahman Ademi,Serbia,Right hand Bat,Right arm Medium,Middle order Batter,
Od Lutbayar,Mongolia,Right hand Bat,Right arm Medium,,
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler,
Abdulla Bhoola,Panama,Right hand Bat,,,
Phil Salt ,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Phil Salt's fearless ball-striking at the top of the Sussex order earned him attention from across the global T20 circuit and a maiden England call-up in 2019, though he was made to wait until 2021 for his debut when he performed a passable impression of Jason Roy in the Covid-hit ODI series against Pakistan."
Danilson Hawoe,,Right hand Bat,Right arm Medium,,
Sajad Ahmadzai,Belgium,Right hand Bat,Right arm Medium,,
Alei Nao,Papua New Guinea,Right hand Bat,Right arm Medium,Bowler,
Nyambaatar Naranbaatar,Mongolia,Right hand Bat,Right arm Medium,,
Ibrahim Takahashi,Japan,Right hand Bat,Right arm Offbreak,,
Enkhtuvshin Munkhbat,Mongolia,Right hand Bat,,,
Dario Macome,Mozambique,Right hand Bat,Right arm Medium fast,,
Deepak Hooda,India,Right hand Bat,Right arm Offbreak,Allrounder,"An allrounder who can bat in any position, Deepak Hooda also bowls offbreaks, offers plenty of athleticism as a boundary fielder, and is an asset in any T20 side. His big hitting as a 19-year-old in his debut IPL season, in 2015, earned with the nickname ""Hurricane Hooda"", but more importantly, got him a Rs 4.2 crore (US$ 622,000 approx) contract with Sunrisers Hyderabad at the next auction. "
Liam Livingstone,England,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,"The sense that Liam Livingstone is a domineering batting talent who will end up playing all three formats for England was strengthened by an excellent maiden Championship double-century for Lancashire against Warwickshire at Old Trafford in 2017. He had begun the season billed as the ""belligerent face of England's next generation"" after a successful England Lions tour of Sri Lanka, and England took an early look at him with two T20 appearances against South Africa before deciding that he needed more time to craft his game at county level. That double-hundred suggested his research was coming along just fine."
Zeerak Chughtai,Bulgaria,Left hand Bat,Right arm Medium,,
Nick Welch,Zimbabwe,Right hand Bat,Legbreak Googly,Opening Batter,"Harare-born Nick Welch made his first-class debut for Mashonaland Eagles in 2013-14, and after a string of second XI appearances for various counties in 2017 and 2018, including Sussex, Surrey, Northamptonshire and Leicestershire, and a stint at Loughborough MCCU in 2019, he made his first-team county debut in Leicestershire's run to the quarter-finals of the T20 Blast in 2020. He made five more appearances for the county in the 2022 Blast, as well as two in the Championship."
Awais Ahmed ,Spain,Right hand Bat,,,
Sean Abbott,Australia,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"Sean Abbott has developed into one of the most versatile bowling allrounders in Australian domestic cricket. A wicket-taking fast-medium bowler who also strikes the ball cleanly with the bat, and also a brilliant fielder, he made his return to international cricket late in 2019 against Pakistan in a T20I five years after his debut. It was a worthy reward for several outstanding seasons with the Sydney Sixers in the BBL where he was one of the most prolific wicket-takers in the competition and specialised in the death overs. "
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter,
Matthew Jenkinson,Finland,Right hand Bat,Right arm Medium fast,,
Aasif Sheikh ,Nepal,Right hand Bat,,Wicketkeeper Batter,
Luvsanzundui Erdenebulgan,Mongolia,Right hand Bat,Right arm Medium,,
Tim Seifert ,New Zealand,Right hand Bat,,Wicketkeeper Batter,
Johnson Charles ,West Indies,Right hand Bat,,Wicketkeeper Batter,"A muscular opener with a penchant for swatting the ball square either side of the wicket, much like Dwayne Smith, Johnson Charles was part of West Indies' T20 World Cup winning teams in 2012 and 2016. While Smith's second skill is seam bowling, Charles' is wicketkeeping. With Denesh Ramdin representing West Indies in all three formats, and Andre Fletcher also in the limited-overs mix, West Indies have used Charles' second skill sparingly."
Nicholas Pooran,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Buyantushig Terbish,Mongolia,Right hand Bat,Right arm Medium,,
Vukasin Zimonjic,Serbia,Right hand Bat,Right arm Medium fast,Bowler,
Niaz Ali,Hong Kong,Left hand Bat,Left arm Medium fast,Middle order Batter,"Following in the footsteps of his brother, Shakeel, who played for Hong Kong's senior team, Niaz Ali picked up 13 wickets during the 2010 Under-19 World Cup Qualifiers. His average of 17.15 and economy rate of 3.32 went a long way in cementing his place in the squad for the main tournament in New Zealand.
"
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,Batter,
Carl Mumba,Zimbabwe,Right hand Bat,Right arm Fast medium,Allrounder,
Kushal Bhurtel,Nepal,Right hand Bat,Legbreak Googly,Opening Batter,
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,"One of the fastest scorers in world cricket, Glenn Maxwell has lit up the limited-overs formats. His ability to make unconventional shots - reverse sweeps and pulls, for example -appear routine makes it hard to set fields to cover all of his scoring areas. Maxwell's audacity comes with risk, and he can exasperate as well as exhilarate, but at his best he can change a game in moments. Also a handy offspinner and outstanding fielder, Maxwell offers an impressive package in one-day and T20 cricket when things click. "
Donnex Kansonkho,Malawi,Left hand Bat,Right arm Medium,,
Sikandar Raza(c),Zimbabwe,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,"Sikandar Raza's story isn't that of your everyday international cricketer. He is not a teenage prodigy, nor is he someone who had a burning ambition to play for his country. He journeyed through from his adolescence to adulthood and stumbled upon the sport he sometimes played as a child, only to discover he is quite good at it."
Tristan Stubbs ,South Africa,Right hand Bat,Right arm Offbreak,Batter,
Sheraz Sheikh(c),Belgium,Right hand Bat,Slow Left arm Orthodox,Bowler,
Nathan Knights,Isle of Man,Right hand Bat,,Opening Batter,
Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,"An explosive middle-order batsman, and steady right-arm seam bowler, Dasun Shanaka worked his way into Sri Lanka's T20 side through several seasons of good performances for Sinhalese Sports Club. Born and educated in Negombo, Shanaka made his T20 international debut against Pakistan in August 2015, but it wasn't until the following domestic season that he achieved wide acclaim. Batting at No. 4 in an AIA Premier T20 match against Saracens Sports Club, Shanaka struck a Sri Lankan record 16 sixes in an innings worth 123 from 46 balls. That wasn't even his biggest T20 score of the last week. He had hit 131 off 48 balls against Galle Cricket Club one week earlier."
Shivam Mavi,India,Right hand Bat,Right arm Fast medium,Bowler,
Mudassar Muhammad,Germany,Right hand Bat,Right arm Offbreak,,
Wataru Miyauchi,Japan,Right hand Bat,,Wicketkeeper Batter,
Ben McDermott,Australia,Right hand Bat,Right arm Medium,Wicketkeeper Batter,"Ben McDermott did not follow the family trend of bowling fast like his father Craig and brother Alister, but has instead made a name for himself as a batsman and some-time wicketkeeper. After making his BBL debut for the Brisbane Heat in 2013-14, his initial forays into state cricket came for Queensland, but in 2015 he signed a rookie deal with Tasmania. After a few years of hovering on the fringes of domestic cricket, McDermott blasted into the spotlight in the 2016-17 BBL when he smashed 114 off 52 balls to set the Hobart Hurricanes on the path to a remarkable win at Etihad Stadium, chasing down the Melbourne Renegades' score of 222, which had been the highest total in BBL history. His innings was also, at the time, the second-highest individual score in BBL history.ESPNcricinfo staff"
Macquille Walker,Bermuda,Right hand Bat,Right arm Medium,,
Zahid Zadran,Germany,Right hand Bat,Right arm Medium,,
Matthew Stokes,Guernsey,Right hand Bat,Right arm Medium,,
Ruturaj Gaikwad(c),India,Right hand Bat,Right arm Offbreak,Batter,
Sheraz Sheikh,Belgium,Right hand Bat,Slow Left arm Orthodox,Bowler,
Matthew Forde,West Indies,Right hand Bat,Right arm Medium,Bowler,
Kenneth Waiswa,Uganda,Right hand Bat,Right arm Medium,Allrounder,
Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,Right arm Medium,Top order Batter,"An attacking left-handed batsman, Bhanuka Rajapaksa was selected for the 2010 Under-19 World Cup in New Zealand as one of the team's key batsmen. He lived upto his reputation, by finishing the leading run-scorer for his country with 253 runs. He had an excellent tour of Australia with the U-19 team in 2009, smashing 154 off 111 balls in a one-dayer and ended the series as the leading run-getter. He compares his batting style to Adam Gilchrist. His other sporting interests include squash and swimming.  Cricinfo Staff January 2010"
Jos Buttler(c),England,Right hand Bat,,Wicketkeeper Batter,
Lockie Ferguson,New Zealand,Right hand Bat,Right arm Fast,Bowler,"Fiercely quick right-arm fast bowler Lockie Ferguson made an impact at the 2019 ODI World Cup in England with his bruising pace and bounce, taking 21 wickets at under 20 runs apiece and an economy rate of 4.88 - the second most wickets in the tournament. "
Dasun Shanaka(c),Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,"An explosive middle-order batsman, and steady right-arm seam bowler, Dasun Shanaka worked his way into Sri Lanka's T20 side through several seasons of good performances for Sinhalese Sports Club. Born and educated in Negombo, Shanaka made his T20 international debut against Pakistan in August 2015, but it wasn't until the following domestic season that he achieved wide acclaim. Batting at No. 4 in an AIA Premier T20 match against Saracens Sports Club, Shanaka struck a Sri Lankan record 16 sixes in an innings worth 123 from 46 balls. That wasn't even his biggest T20 score of the last week. He had hit 131 off 48 balls against Galle Cricket Club one week earlier."
Amjad Mahboob,Singapore,Right hand Bat,Right arm Medium,Bowler,
Gaurav Mishra,Romania,Right hand Bat,Right arm Medium fast,,
Dominic Sabir,Bermuda,Right hand Bat,,,
Aziz Mohammad,Belgium,Right hand Bat,Right arm Fast medium,Bowler,
Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder,
Mohammad Ihsan,Spain,Right hand Bat,,,
Uala Kaisala ,Samoa,Right hand Bat,,Wicketkeeper,
Kendel KadowakiFleming(c),Japan,Left hand Bat,Right arm Offbreak,Batter,
Heinrich Klaasen ,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A wicketkeeper-batter known for his belligerent six-hitting, Heinrich Klaasen first got his chance in the South African team as an injury replacement, opening in place of Quinton de Kock, but went on to establish himself in the middle order in limited-overs cricket. "
Suhail Vayani,Malawi,Right hand Bat,Right arm Offbreak,,
Clement Tommy ,Vanuatu,Right hand Bat,,,
Agostinho Navicha,Mozambique,Right hand Bat,Legbreak,,
Steven Smith,Australia,Right hand Bat,Legbreak Googly,Top order Batter,"In a career of twists and turns, Steven Smith started out as a legspinner and become Australia's best batter since Sir Donald Bradman, either side of having his career derailed by a ball-tampering scandal that saw him stripped of the captaincy and banned for 12 months."
Mahmad Data,Panama,Right hand Bat,Right arm Medium,,
Matthew Ansell(c),Isle of Man,Right hand Bat,Slow Left arm Orthodox,Bowler,
Bjorn Fortuin,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler,
Kasun Rajitha,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,"Virtually unheard of before 2015, the first inkling of right-arm seamer Kasun Rajitha's potential came during a three-dayer against the touring Indians in August of that year. He took 5 for 68 on a spicy Khettarama deck in that match, dismissing Shikhar Dhawan, Virat Kohli and Rohit Sharma in a single spell, before claiming Kohli's wicket in the second innings as well."
Piyush Kumbhare,Japan,Right hand Bat,Slow Left arm Orthodox,,
Sami Sohail,Malawi,Right hand Bat,Right arm Medium,,
Charles Amini,Papua New Guinea,Left hand Bat,Legbreak,Allrounder,"CJ Amini comes from a long line of Papua New Guinea cricketing royalty. The third generation of his family to represent the country in cricket, CJ's grandfather Brian and father Charles were both national captains, as was his mother, Kune, for the women's side. His older brother Chris also captained the men's side, while his aunt Cheryl and other brother Colin played for representative PNG sides, leaving little doubt about CJ's future career path."
Blessings Pondani,Malawi,Right hand Bat,Right arm Medium fast,,
Vieira Tembo,Mozambique,Right hand Bat,,,
Rishad Hossain,,Right hand Bat,Legbreak Googly,Bowler,
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler,
Ansh Tandon,United Arab Emirates,Left hand Bat,Legbreak,Batter,
Mohammed Irshad,Qatar,Right hand Bat,Right arm Medium,,
JP Kotze,Namibia,Left hand Bat,,Batter,
Ainsley Ndlovu,Zimbabwe,Right hand Bat,Slow Left arm Orthodox,Bowler,
Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,
Muhamad Syahadat,Malaysia,Right hand Bat,Right arm Offbreak,,
JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder,
Jassim Khan,Qatar,Right hand Bat,Right arm Medium fast,,
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler,"A left-arm wristspin bowler with ample variations and a good googly, Tabraiz Shamsi emerged as South Africa were starting to warm to the wave of spinners being produced at domestic levels, although it took a while for him to come through. "
Makoto Taniyama,Japan,Right hand Bat,Legbreak Googly,,
Kashyap Prajapati,Oman,Right hand Bat,Right arm Offbreak,Top order Batter,
Gudakesh Motie,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,
Tur Sumya,Mongolia,Left hand Bat,Right arm Offbreak,,
Declan Suzuki,Japan,Left hand Bat,Right arm Medium,Allrounder,
Alex Osei,Ghana,Right hand Bat,,Batter,
Gede Priandana,,Right hand Bat,,,
Clement Tommy,Vanuatu,Right hand Bat,,,
Filipe Cossa(c),Mozambique,Right hand Bat,Right arm Medium,,
Muhammad Jabir,Qatar,Right hand Bat,Right arm Medium,,
Ravi Thapliyal,Belgium,Left hand Bat,Slow Left arm Orthodox,,
Rafiullah,Oman,Right hand Bat,Right arm Medium,,
Lungi Ngidi,South Africa,Right hand Bat,Right arm Fast medium,Bowler,"A tall, imposing 140kph-plus fast bowler, Lungi Ngidi is as comfortable opening the bowling as he is at the death, and has been a regular presence in South Africa's sides, if not quite a shoo-in. "
Namsrai Batyalalt,Mongolia,Right hand Bat,,,
Christian MunozMills(c),Spain,Right hand Bat,Right arm Offbreak,,
Saber Zakhil,Belgium,Right hand Bat,Right arm Fast,Bowler,
Tony Munyonga,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,
Srimantha Wijeyeratne ,Canada,Right hand Bat,,Wicketkeeper Batter,
Rahul Tripathi,India,Right hand Bat,Right arm Medium,Top order Batter,"A technically correct middle-order batter, Rahul Tripathi came to the game in the footsteps of his father, an army man who in his time turned out for Uttar Pradesh in junior cricket and also played at university level. "
Saqlain Arshad,Qatar,Right hand Bat,Right arm Offbreak,,
ShiraiPatmore ,Japan,Left hand Bat,,Wicketkeeper Batter,
Adnan Mirza,Qatar,Right hand Bat,Slow Left arm Orthodox,,
Jamal Vira,Vanuatu,Right hand Bat,,Wicketkeeper Batter,
Himanshu Rathod,Qatar,Right hand Bat,Right arm Offbreak,,
Gerhard Erasmus(c),Namibia,Right hand Bat,Right arm Offbreak,Allrounder,
Raaz Mohammad,Finland,Right hand Bat,Right arm Medium,,
Dhanesh Shetty,,Right hand Bat,Right arm Medium,,
Abinash Bohara,Nepal,Right hand Bat,Right arm Medium,Bowler,
Riley Hekure,Papua New Guinea,Right hand Bat,Right arm Medium,Bowler,
Shoaib Khan,Oman,Right hand Bat,Right arm Medium,Batter,
Sitanisilao Toutai,Samoa,Right hand Bat,Right arm Medium,,
Saud Munir ,Denmark,Right hand Bat,Right arm Medium,,
Lachlan YamamotoLake,Japan,Right hand Bat,,,
Kamau Leverock,Bermuda,Left hand Bat,Right arm Medium fast,,
Bukhar Illikkal,Qatar,Left hand Bat,Slow Left arm Orthodox,,
Uzair Amir,Qatar,Right hand Bat,,Wicketkeeper,
Aqib Ilyas,Oman,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,
Daniel Jakiel,Malawi,Right hand Bat,Right arm Fast medium,,
Tsuyoshi Takada,Japan,Right hand Bat,Right arm Medium,,
Josh Butler(c),Guernsey,Right hand Bat,Right arm Medium,,
Katlo Piet,Botswana,Left hand Bat,Slow Left arm Orthodox,,
Godfrey Mangau,Vanuatu,Right hand Bat,Right arm Medium,,
Obed Yosef,Vanuatu,,Slow Left arm Orthodox,,
Sompal Kami,Nepal,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
Mohameed Taiwo,Nigeria,Left hand Bat,Left arm Fast medium,Bowler,
Rohit Paudel,Nepal,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Andrew Mansale,Vanuatu,Right hand Bat,Right arm Offbreak,,
Josh Inglis ,Australia,Right hand Bat,,Wicketkeeper Batter,"Wicketkeeper-batter Josh Inglis, who was born in Leeds before relocating to Australia as a 14-year-old, moved quickly into the national reckoning over the last two years after finding his feet for both Western Australia and Perth Scorchers. A versatile and hard-hitting batter, he enjoyed a breakthrough Sheffield Shield season in 2020-21 with 585 runs including his first three first-class hundreds having previously churned out runs at grade level without quite making the step up. That followed consecutive 400-plus run seasons for Scorchers in the BBL - where his adaptability at moving from the top order to the middle was noted by selectors - and having continued to flay runs in county cricket for Leicestershire he was named in Australia's 2021 T20 World Cup despite not being part of any of the previous series.
ESPNcricinfo staff"
Wayne Parnell,South Africa,Left hand Bat,Left arm Medium fast,Bowler,"An aggressive left-handed seamer, who bowls with as much venom as he bats, Wayne Parnell was earmarked for success early and spent the next few years trying to get there. Inconsistency and injury were his nemeses, however, and that led to him abandoning international cricket with South Africa and signing a three-year deal with Worcestershire as a Kolpak after the 2018 English season."
Jofra Archer,England,Right hand Bat,Right arm Fast,Bowler,"Jofra Archer has rapidly become one of the most exciting young fast bowlers in English cricket. Born in Barbados to an English father and Bajan mother, the possibility of his inclusion in England's 2019 World Cup squad became subject of much speculation in the run-up to the tournament. Changes to the ECB's qualification rules led to him becoming eligible after three years of residency - rather than the expected seven - and he was quickly given his chance at international level."
Liuone Fereti,Samoa,,,,
Muhammad Khan ,Hong Kong,Right hand Bat,,Wicketkeeper Batter,
Bipin Kumar,Qatar,Right hand Bat,Right arm Medium,,
Patrick Matautaava,Vanuatu,Right hand Bat,Right arm Medium,,
Ishan Kishan ,India,Left hand Bat,,Wicketkeeper Batter,
Junaid Aziz,Bahrain,Right hand Bat,Legbreak Googly,Batting Allrounder,
Adam Martel,Guernsey,Right hand Bat,Left arm Medium,,
Semo Kamea,Papua New Guinea,Left hand Bat,Left arm Fast,Bowler,
Muhammad Nadir,Rwanda,Left hand Bat,Slow Left arm Orthodox,,
Hamid Shah,Denmark,Right hand Bat,Right arm Offbreak,,
Brandon King,West Indies,Right hand Bat,,Top order Batter,"Brandon King got his start as a solid middle-order batter for Jamaica before a promotion to the top order in the CPL unlocked his power-hitting potential, and culminated in a call-up to West Indies' white-ball side."
Reo SakuranoThomas,Japan,Right hand Bat,Right arm Medium,,
Tomas Mackintosh ,Scotland,Right hand Bat,,Middle order Batter,
Rehan Ahmed,England,Right hand Bat,Legbreak Googly,Bowling Allrounder,Rehan Ahmed became the youngest man to play Test cricket for England when he made his debut at 18 years and 126 days old in Karachi in December 2022 - and marked the occasion with a game-changing five-wicket haul in Pakistan's second innings.
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder,
Luca Petre,Romania,Right hand Bat,Right arm Medium,,
Deepak Chahar,India,Right hand Bat,Right arm Medium,Bowler,
Amjad Sher,Finland,Right hand Bat,Right arm Medium,,
Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder,"Sam Curran, younger brother of Tom Curran, his fellow Surrey all-rounder, and son of the former Zimbabwe cricketer Kevin Curran, fulfilled his destiny at the age of 19 years and 363 days, when he made his Test debut against Pakistan at Headingley in June 2018. One Test later, he scooped his maiden Man-of-the-Match award, after four first-innings wickets and a thrilling counter-attacking half-century had given England the edge in a gripping Edgbaston Test against India. His success merely heightened the debate as to whether batting or bowling will ultimately become his strongest suit. "
Mitchell Marsh(c),Australia,Right hand Bat,Right arm Medium,Allrounder,
Assad Vala(c),Papua New Guinea,Left hand Bat,Right arm Offbreak,Batter,
Tanzim Hasan Sakib,,Right hand Bat,Right arm Medium,Bowler,
Quinton de Kock ,South Africa,Left hand Bat,,Wicketkeeper Batter,
Meet Bhavsar,Kuwait,Left hand Bat,,Top order Batter,
Lourenco Salomone,Mozambique,Right hand Bat,Legbreak,,
Aziz Sualley,Ghana,Right hand Bat,Legbreak,Allrounder,
Muhammad Murad(c),Qatar,Left hand Bat,Left arm Medium fast,,
Rassie van der Dussen,South Africa,Right hand Bat,Legbreak,Top order Batter,"Seeking opportunities wherever they might arise, Rassie van der Dussen had played cricket in South Africa, England, Ireland, Netherlands, Canada and the Caribbean before he finally caught the national selectors' eye and made his T20I debut against Zimbabwe in October 2018. Van der Dussen had also been part of South Africa A's tour to India earlier that year, and the accumulated effect of his experience in such a wide variety of conditions has made him a dynamic, adaptable batsman at the top of the order or in the middle.A naturally attacking batsman, van der Dussen has also been able to
translate his talents into long-format cricket and was top-scorer in South Africa's first-class domestic competition in 2017-18, as well as being Lions' vice-captain. But it was his success in cricket's shortest formats that made van der Dussen impossible to ignore.He was an integral part of the Vancouver Knights team that won the 2018 Global T20 Canada, after which he was recruited by St Kitts & Nevis Patriots in the Caribbean Premier League and capped the year by topping the batting charts with 469 runs at a strike rate of 138.75 in Jozi Stars' run to the inaugural Mzansi Super League title. Van der Dussen transitioned easily into international cricket, striking a fifty on T20I debut against Zimbabwe and following that up with 93 in his first ODI against Pakistan.Liam Brickhill"
Luvsanzundui Erdenebulgan(c),Mongolia,Right hand Bat,Right arm Medium,,
Apolinaire Stephen,Vanuatu,Right hand Bat,Right arm Medium,,
Jack Gardner,Papua New Guinea,,,,
Filipe Cossa,Mozambique,Right hand Bat,Right arm Medium,,
Harshal Patel,India,Right hand Bat,Right arm Medium,Bowler,
Ryan Drake,Japan,Right hand Bat,Right arm Medium,Bowler,
Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter,"A stylish top-order player with an elegant and authoritative drive, Rilee Rossouw has been a high-impact batter for South Africa in limited-overs cricket.  "
Aqib Ilyas(c),Oman,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,
Conroy Wright,Cayman Islands,Right hand Bat,Right arm Medium,,
Maletino Maiava,Samoa,Left hand Bat,,,
Dilpreet Bajwa,Canada,Right hand Bat,Right arm Offbreak,Allrounder,
Yasin Patel,Kuwait,Left hand Bat,Slow Left arm Orthodox,Bowler,
Gift Kansonkho,Malawi,Right hand Bat,Right arm Medium,,
Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,
Najmul Hossain Shanto(c),Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter,"Nazmul Hossain Shanto emerged from an unusual source in Bangladesh cricket - the schools. A double-century in a school one-day match in Rajshahi grabbed the attention of age-group scouts, who quickly drafted the left-hander into Bangladesh's Under-17s. Soon, he graduated to the Under-19s in 2013, and went on to play two World Cups at that level, in 2014 and 2016."
Patrick Matautaava(c),Vanuatu,Right hand Bat,Right arm Medium,,
Michael Charlie,Papua New Guinea,Right hand Bat,Right arm Medium,,
Davaasuren Jamyansuren,Mongolia,Right hand Bat,Right arm Medium fast,,
Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,"Mehedi Hasan Miraz has emerged as one of the brightest young stars in Bangladesh cricket. He led the country to their first appearance in an Under-19 World Cup semi-final in February 2016, before making the year more memorable with his Test debut, against England in October."
Fitri Sham,Malaysia,Left hand Bat,Slow Left arm Orthodox,,
George Ngegba(c),Sierra Leone,Right hand Bat,Right arm Offbreak,,
Raymon Reifer,West Indies,Left hand Bat,Left arm Medium fast,Allrounder,"The fourth first-class cricketer from a family that includes former Test captain Floyd Reifer, Raymond Reifer has made his name for his all-round abilities. A left-arm seamer who can score useful runs down the order, Reifer's mid-20s averages with both bat and ball reflect his consistency in first-class cricket. He played a major role in Guyana's run to the 2016-17 four-day title, with 36 wickets at 21.58 and 445 runs at 37.08, which earned him a maiden call up to the West Indies Test side ahead of their 2017 tour of England.ESPNcricinfo staff
"
Wanindu Hasaranga,Sri Lanka,Right hand Bat,Legbreak,Allrounder,"A bruising lower-middle order batsman, and an aggressive legbreak bowler, Wanidu Hasaranga graduated from a strong Richmond College outfit, had a fine run in Sri Lanka's 2015 and 2016 Under-19 teams, and has made a promising start to his domestic cricket career."
Mitchell Santner(c),New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"A left-handed batsman and left-arm spinner, Mitchell Santner was first elevated to the New Zealand side after a promising 2014-15 domestic season. "
Naseem Khushi ,Oman,Right hand Bat,,Wicketkeeper,
Darren Wotu,Vanuatu,Right hand Bat,Right arm Medium,,
Bilal Khan,Oman,Left hand Bat,Left arm Medium fast,Bowler,"After a brief first-class career with Peshawar in Pakistan's domestic cricket in the late 2000s, left-arm swing bowler Bilal Khan turned into the leader of Oman's bowling attack and one of the most successful pace bowlers on the Associate scene in the late 2010s. As of 2022, his ODI bowling average was bettered only by Joel Garner, Rashid Khan and Sandeep Lamichhane among bowlers with at least 50 ODI wickets."
Ali Dawood,Bahrain,Right hand Bat,Right arm Medium,Bowler,
Kushal Malla,Nepal,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,
Shiv Mathur,Hong Kong,Right hand Bat,Right arm Medium,Batter,
Richmond Baaleri,Ghana,Right hand Bat,Right arm Offbreak,,
Sayed Monib,Kuwait,Right hand Bat,Right arm Medium,Bowler,
Sheldon Cottrell,West Indies,Right hand Bat,Left arm Fast medium,Bowler,"Once a soldier in the Jamaican Defence Force, left-armer Sheldon Cottrell has been a semi-regular presence in the West Indies white-ball sides since he made his debut in 2013, and is known as much for his elaborate army-salute wicket celebration as for his bowling performances. He also offers athleticism in the field and powerful hitting in the lower order. "
Nalin Nipiko,Vanuatu,Right hand Bat,Right arm Medium,,
Nikolaas Davin,Namibia,Right hand Bat,Legbreak,Batter,
George Ngegba,Sierra Leone,Right hand Bat,Right arm Offbreak,,
Shem Ngoche,Kenya,Right hand Bat,Slow Left arm Orthodox,Bowler,"One of a number of younger players starting to force their way into the Kenyan national side, Shem Obado Ngoche is a diminutive left-arm spinner whose early performances in the senior team suggested much promise as a limited-overs bowler. Often operating around the wicket, Ngoche does not turn the ball much but has the gift of accuracy. Ngoche comes from a strong cricket-playing family, with five of his siblings having represented the senior men's and women's sides.
Liam Brickhill "
Gerard Mwendwa,Kenya,Right hand Bat,Right arm Medium fast,Allrounder,
